1.213403184045573902e-01,-8.846993790184883716e-03,2.916005618194111304e-01,9.583252084977980090e-01,-1.496422979121976027e-01,1.884033044855877026e-01,1.540265311305815676e-01,4.689069432765549661e-01,-3.276566524838802064e-01,1.210117410990631193e+00,-1.114982035230044577e+00,-9.181636001850463913e-01,6.570774597402350148e-01
1.304379959086518492e-01,-6.528372519877879629e-03,3.011408938163402937e-01,9.578196969381412851e-01,-1.536540372428697732e-01,1.836308768358773658e-01,1.589074135110782604e-01,5.178112649006711976e-01,-3.217876204122080419e-01,1.200059134986440013e+00,-1.043301502995424679e+00,-1.040916787790762132e+00,6.434039645321836254e-01
1.398019461305471112e-01,-3.915047637480521120e-03,3.104504985296570041e-01,9.574317165485395353e-01,-1.572277144349635558e-01,1.783053117785308450e-01,1.637411669435499262e-01,5.675317471412544279e-01,-3.144893341819000598e-01,1.188682915595386635e+00,-9.712385642765282157e-01,-1.157191570952931681e+00,6.299488412010496585e-01
1.494209382337748915e-01,-1.001720248110584809e-03,3.195270509784649549e-01,9.571520508469989474e-01,-1.603628712017590996e-01,1.724598143273437523e-01,1.685268926358346464e-01,6.178513784835394373e-01,-3.058027523368203049e-01,1.176010890265788422e+00,-8.989871833309897031e-01,-1.266840005198786923e+00,6.167055339583200624e-01
1.592835147326878142e-01,2.216502796135418410e-03,3.283700341609677165e-01,9.569705483550013936e-01,-1.630603098020166064e-01,1.661280393735947991e-01,1.732633241118374523e-01,6.685528329391137170e-01,-2.957725809010267048e-01,1.162072908794115067e+00,-8.267361502373072879e-01,-1.369722327016573482e+00,6.036675980376225992e-01
1.693779840789603752e-01,5.744131416387372041e-03,3.369806845704572118e-01,9.568763113464634484e-01,-1.653220892052200408e-01,1.593440861415229004e-01,1.779488516864611569e-01,7.194194425944719917e-01,-2.844472790746069291e-01,1.146907961793632191e+00,-7.546692357652226013e-01,-1.465708685370112674e+00,5.908288656036617681e-01
1.796924051970843761e-01,9.585304345768506928e-03,3.453619346981373628e-01,9.568578842126990169e-01,-1.671515222019345492e-01,1.521424825543760961e-01,1.825815517728029691e-01,7.702362794965805781e-01,-2.718790228424979305e-01,1.130565246081640884e+00,-6.829652469140260473e-01,-1.554681162193074950e+00,5.781835956345877658e-01
1.902145655505689537e-01,1.374379048711557930e-02,3.535183508844289002e-01,9.569034400350672209e-01,-1.685531716442517092e-01,1.445581571340548432e-01,1.871592209422873188e-01,8.207913375764087638e-01,-2.581236171152754277e-01,1.113104863732632621e+00,-6.117979662646247929e-01,-1.636536044272260737e+00,5.657266039186095163e-01
2.009319544882567088e-01,1.822297963211647401e-02,3.614560649686897609e-01,9.570009637841849770e-01,-1.695328439212472060e-01,1.366263964149447285e-01,1.916794145201343169e-01,8.708767985197939376e-01,-2.432403495795643633e-01,1.094598152264289803e+00,-5.413359664823103046e-01,-1.711186283861668045e+00,5.534533697157176801e-01
2.118317337614075146e-01,2.302586284986349666e-02,3.691826983024052433e-01,9.571384303865921872e-01,-1.700975777834927150e-01,1.283827863414279402e-01,1.961394893449314725e-01,9.202903592285449630e-01,-2.272917821670639160e-01,1.075127646415962257e+00,-4.717422998901694697e-01,-1.778564063689633823e+00,5.413601162733064909e-01
2.229007072097552999e-01,2.815500313686971484e-02,3.767072768472636279e-01,9.573039757384863568e-01,-1.702556267329823347e-01,1.198631367196895531e-01,2.005366501584287531e-01,9.688365930483427979e-01,-2.103434788990225790e-01,1.054786677154180730e+00,-4.031740715076805870e-01,-1.838623365097821649e+00,5.294438632464693040e-01
2.341252916803833461e-01,3.361249721637993293e-02,3.840401362880635494e-01,9.574860586246012328e-01,-1.700164333895133884e-01,1.111033884812291650e-01,2.048679989286391889e-01,1.016328312570597303e+00,-1.924636717466923219e-01,1.033678620647789925e+00,-3.357819117752788296e-01,-1.891342427164250717e+00,5.177024501268076007e-01
2.454914912582186748e-01,3.939992967328095202e-02,3.911928163577673145e-01,9.576736114404096334e-01,-1.693905945249735978e-01,1.021395042543749299e-01,2.091305862561230744e-01,1.062587898831528488e+00,-1.737228689653606550e-01,1.011915818578816184e+00,-2.697093718405128571e-01,-1.936725980804549163e+00,5.061345309658378255e-01
2.569848768426777896e-01,4.551832090064168723e-02,3.981779438998657161e-01,9.578561776360537960e-01,-1.683898158105978926e-01,9.300734349167233406e-02,2.133214638810249919e-01,1.107448560379110214e+00,-1.541934129918195451e-01,9.896182007173913719e-01,-2.050922693235909811e-01,-1.974807145540393938e+00,4.947395419051647814e-01
2.685905729942189013e-01,5.196807060132110911e-02,4.050091045776265108e-01,9.580240339136066874e-01,-1.670268557311763158e-01,8.374252412264085454e-02,2.174377372077493653e-01,1.150755486125386362e+00,-1.339489973179026072e-01,9.669116504844883497e-01,-1.420580156034372821e-01,-2.005648887799234004e+00,4.835176441962628080e-01
2.802932537923815692e-01,5.874889881811463932e-02,4.117007035709860374e-01,9.581682954209435055e-01,-1.653154585621453010e-01,7.438027335028719877e-02,2.214766167044450729e-01,1.192366858208846025e+00,-1.130641536461085422e-01,9.439261634721337613e-01,-8.072495673261134708e-02,-2.029344957551991069e+00,4.724696464078728675e-01
2.920771491919577079e-01,6.585978664305265629e-02,4.182678160644014986e-01,9.582810024928315462e-01,-1.632702767557934476e-01,6.495527074669305012e-02,2.254354670224810731e-01,1.232154695192306137e+00,-9.161372199422840312e-02,9.207938567946074571e-01,-2.120175914444531046e-02,-2.046020243492632229e+00,4.615969102914952438e-01
3.039260630393175733e-01,7.329891886605877094e-02,4.247260288025940245e-01,9.583551878815899094e-01,-1.609067835160726823e-01,5.550148719573455569e-02,2.293118527202987478e-01,1.270005501615338428e+00,-6.967231716911163886e-02,8.976468929799058527e-01,3.641313143576691697e-02,-2.055830514034897138e+00,4.509012452434273954e-01
3.158234035247167726e-01,8.106363085288467718e-02,4.310912744518258788e-01,9.583849238770805190e-01,-1.582411767340055619e-01,4.605202345714496520e-02,2.331035795659570364e-01,1.305820706881138493e+00,-4.731380513669238008e-02,8.746153852940926621e-01,9.203193368623535653e-02,-2.058961540088268816e+00,4.403847964371006563e-01
3.277522264118444273e-01,8.915036188349169388e-02,4.373796609263578827e-01,9.583653492143483499e-01,-1.552902757869857875e-01,3.663895217514073765e-02,2.368087305290281774e-01,1.339516884259996488e+00,-2.461080227935261849e-02,8.518253515429641265e-01,1.455778580820407120e-01,-2.055627623764075818e+00,4.300499315105664744e-01
3.396952909207801574e-01,9.755461703126329376e-02,4.436072981974525931e-01,9.582926761789976045e-01,-1.520714129599299858e-01,2.729316702844666181e-02,2.404256957474025236e-01,1.371025748945930101e+00,-1.634209398373873134e-03,8.293967803843810271e-01,1.969853049717925075e-01,-2.046069582901660411e+00,4.198991302227935707e-01
3.516351276663379766e-01,1.062709394228309873e-01,4.497901253726363513e-01,9.581641788166938012e-01,-1.486023214144809867e-01,1.804424243045769927e-02,2.439531959574806896e-01,1.400293942101463740e+00,2.154720932671355671e-02,8.074418681422819155e-01,2.461999264035971136e-01,-2.030552262982720624e+00,4.099348808062076577e-01
3.635541175939975833e-01,1.152928943961840924e-01,4.559437409974240185e-01,9.579781636071805773e-01,-1.449010217106760645e-01,8.920306762100288500e-03,2.473902990949444214e-01,1.427282615187197123e+00,4.486719425260175809e-02,7.860634754199136154e-01,2.931785506528560292e-01,-2.009361664472645970e+00,4.001595859230000496e-01
3.754345804339989101e-01,1.246130666851690133e-01,4.620832395782105140e-01,9.577339243521477696e-01,-1.409857088758709187e-01,-5.206841381887185967e-05,2.507364299950904374e-01,1.451966835186104587e+00,6.826229919338971941e-02,7.653538420518648522e-01,3.378889737875193644e-01,-1.982801784262048006e+00,3.905754802624382127e-01
3.872588708327318052e-01,1.342230713203387271e-01,4.682230572489526899e-01,9.574316833331318888e-01,-1.368746419256086366e-01,-8.847961306938814316e-03,2.539913733344754121e-01,1.474334836287229500e+00,9.167213789744109442e-02,7.453935868421518451e-01,3.803096272576381165e-01,-1.951191274553535138e+00,3.811845609701578486e-01
3.990094800378659601e-01,1.441135784716423840e-01,4.743768293087909926e-01,9.570725210100495817e-01,-1.325860375819390702e-01,-1.744417382667222058e-02,2.571552701487833104e-01,1.494387147001788874e+00,1.150395670160957590e-01,7.262510059071837221e-01,4.204291342342122983e-01,-1.914860021683868707e+00,3.719885313404339700e-01
4.106691408229144469e-01,1.542743519915234784e-01,4.805572620544605322e-01,9.566582966491263829e-01,-1.281379697207424284e-01,-2.581928589802223034e-02,2.602286084271952515e-01,1.512135623481221769e+00,1.383108067313720269e-01,7.079816710654457390e-01,4.582457702920899600e-01,-1.874145741293640421e+00,3.629887575528790156e-01
