1.796924051970843761e-01,9.585304345768506928e-03,3.453619346981373628e-01
1.902145655505689537e-01,1.374379048711557930e-02,3.535183508844289002e-01
2.009319544882567088e-01,1.822297963211647401e-02,3.614560649686897609e-01
2.118317337614075146e-01,2.302586284986349666e-02,3.691826983024052433e-01
2.229007072097552999e-01,2.815500313686971484e-02,3.767072768472636279e-01
2.341252916803833461e-01,3.361249721637993293e-02,3.840401362880635494e-01
2.454914912582186748e-01,3.939992967328095202e-02,3.911928163577673145e-01
2.569848768426777896e-01,4.551832090064168723e-02,3.981779438998657161e-01
2.685905729942189013e-01,5.196807060132110911e-02,4.050091045776265108e-01
2.802932537923815692e-01,5.874889881811463932e-02,4.117007035709860374e-01
2.920771491919577079e-01,6.585978664305265629e-02,4.182678160644014986e-01
3.039260630393175733e-01,7.329891886605877094e-02,4.247260288025940245e-01
3.158234035247167726e-01,8.106363085288467718e-02,4.310912744518258788e-01
3.277522264118444273e-01,8.915036188349169388e-02,4.373796609263578827e-01
3.396952909207801574e-01,9.755461703126329376e-02,4.436072981974525931e-01
3.516351276663379766e-01,1.062709394228309873e-01,4.497901253726363513e-01
3.635541175939975833e-01,1.152928943961840924e-01,4.559437409974240185e-01
3.754345804339989101e-01,1.246130666851690133e-01,4.620832395782105140e-01
3.872588708327318052e-01,1.342230713203387271e-01,4.682230572489526899e-01
3.990094800378659601e-01,1.441135784716423840e-01,4.743768293087909926e-01
4.106691408229144469e-01,1.542743519915234784e-01,4.805572620544605322e-01
4.222209332461234754e-01,1.646943009711825945e-01,4.867760209366504554e-01
4.336483888480546778e-01,1.753615432195645696e-01,4.930436366074117394e-01
4.449355909973588541e-01,1.862634792318785260e-01,4.993694299207334097e-01
4.560672692841524212e-01,1.973868749452920013e-01,5.057614564275958458e-01
4.670288861203186204e-01,2.087179513916601337e-01,5.122264703954501064e-01
4.778067140182823969e-01,2.202424792531693376e-01,5.187699079028347260e-01
4.883879023653879270e-01,2.319458763039950189e-01,5.253958881313428586e-01
4.987605328711207098e-01,2.438133057726450947e-01,5.321072316131488789e-01
5.089136632216380018e-01,2.558297737754774426e-01,5.389054939014509271e-01
5.188373588153015747e-01,2.679802241396763707e-01,5.457910129171601454e-01
5.285227127620073517e-01,2.802496291404327766e-01,5.527629680871982698e-01
5.379618545991804446e-01,2.926230749088093996e-01,5.598194493233842328e-01
5.471479484027168549e-01,3.050858405111529503e-01,5.669575338888147575e-01
5.560751811492921082e-01,3.176234699466776723e-01,5.741733692516950427e-01
5.647387423173536591e-01,3.302218365474930417e-01,5.814622601245607036e-01
5.731347957999408660e-01,3.428671994873572215e-01,5.888187580192786319e-01
5.812604452470302441e-01,3.555462523062787872e-01,5.962367518050162296e-01
5.891136939632735103e-01,3.682461635341324202e-01,6.037095579282250046e-01
5.966934004643090761e-01,3.809546096457672726e-01,6.112300091324176510e-01
6.039992307470183341e-01,3.936598007021760992e-01,6.187905406942559861e-01
6.110316082618199029e-01,4.063504991278361067e-01,6.263832733656705676e-01
6.177916624936425904e-01,4.190160321448770930e-01,6.340000923751955009e-01
6.242811769673812794e-01,4.316462984324588303e-01,6.416327219924331526e-01
6.305025373976111958e-01,4.442317696072013433e-01,6.492727952956454107e-01
6.364586806046420575e-01,4.567634871304682154e-01,6.569119189029191119e-01
6.421530447225203275e-01,4.692330552435389213e-01,6.645417325319238344e-01
6.475895211316092803e-01,4.816326305149250531e-01,6.721539633423307958e-01
6.527724084605829313e-01,4.939549085578223697e-01,6.797404750892769298e-01
6.577063689212794273e-01,5.061931084422619520e-01,6.872933121769253528e-01
6.623963871656423086e-01,5.183409552879455484e-01,6.948047387495372984e-01
6.668477317873595656e-01,5.303926614818722518e-01,7.022672729948189474e-01
6.710659195319331749e-01,5.423429069211133102e-01,7.096737168621938263e-01
6.750566822276798939e-01,5.541868186367917559e-01,7.170171814183723402e-01
6.788259364063353729e-01,5.659199501114632325e-01,7.242911080755101150e-01
6.823797555451207586e-01,5.775382605594914232e-01,7.314892859345917264e-01
6.857243448318836032e-01,5.890380943992812313e-01,7.386058654895492070e-01
6.888660183307343532e-01,6.004161611078436822e-01,7.456353689370129878e-01
6.918111784069348458e-01,6.116695156124307697e-01,7.525726973333518588e-01
6.945662972561176263e-01,6.227955393411146456e-01,7.594131348355180888e-01
6.971379003737028235e-01,6.337919220243006801e-01,7.661523502557732179e-01
6.995325517951196392e-01,6.446566443123067369e-01,7.727863961531286074e-01
7.017568409356533810e-01,6.553879612502839791e-01,7.793117056766697415e-01
7.038173708599667622e-01,6.659843866308432503e-01,7.857250873681381753e-01
7.057207478151713564e-01,6.764446782266753111e-01,7.920237181234281998e-01
7.074735718673463847e-01,6.867678238900946086e-01,7.982051345051396352e-01
7.090824284892607299e-01,6.969530284936455988e-01,8.042672225910951767e-01
7.105538809564087011e-01,7.069997016755301678e-01,8.102082065367909314e-01
7.118944634190081944e-01,7.169074463454745416e-01,8.160266360230804539e-01
7.131106745290418658e-01,7.266760479005830442e-01,8.217213727539446344e-01
7.142089715134808392e-01,7.363054640965380759e-01,8.272915761628959475e-01
7.151957645972651934e-01,7.457958155170285597e-01,8.327366884803113489e-01
7.160774116922022925e-01,7.551473765833338625e-01,8.380564193077000290e-01
7.168602132804687832e-01,7.643605670463805568e-01,8.432507298384885885e-01
7.175504074336720439e-01,7.734359439051431417e-01,8.483198168582654075e-01
7.181541649202782818e-01,7.823741936978040323e-01,8.532640966505015134e-01
7.186775843654796825e-01,7.911761251154477703e-01,8.580841889264926303e-01
7.191266874381353480e-01,7.998426618920757569e-01,8.627809008906219823e-01
7.195074140491548587e-01,8.083748359292307617e-01,8.673552115440017474e-01
7.198256175545157953e-01,8.167737806183619220e-01,8.718082563211275726e-01
7.200870599639488390e-01,8.250407243291066894e-01,8.761413121454023623e-01
7.202974071631339514e-01,8.331769840367755364e-01,8.803557829802967083e-01
7.204622241630140866e-01,8.411839590673916289e-01,8.844531859435871279e-01
7.205869703945334548e-01,8.490631249435481864e-01,8.884351380426270817e-01
7.206769950707744288e-01,8.568160273190179588e-01,8.923033435790481693e-01
7.207375326411257221e-01,8.644442759944009902e-01,8.960595822617690720e-01
7.207736983638249884e-01,8.719495390100714394e-01,8.997056980578010954e-01
7.207904840240416666e-01,8.793335368162368271e-01,9.032435888011937086e-01
7.207927538246833299e-01,8.865980365230200499e-01,9.066751965716589590e-01
7.207852404764052423e-01,8.937448462361010648e-01,9.100024988460448938e-01
7.207725415119774492e-01,9.007758094856038733e-01,9.132275004179805089e-01
7.207591158483053206e-01,9.076927997575960916e-01,9.163522260737658742e-01
7.207492806171192923e-01,9.144977151387925218e-01,9.193787140059869190e-01
7.207472082827334203e-01,9.211924730858576105e-01,9.223090099404491760e-01
7.207569240624198681e-01,9.277790053311021357e-01,9.251451619468751275e-01
7.207823036619493973e-01,9.342592529364162068e-01,9.278892158994206385e-01
7.208270713357788351e-01,9.406351615070106531e-01,9.305432115494370882e-01
7.208947982783076025e-01,9.469086765759919810e-01,9.331091791700322213e-01
7.209889013496365573e-01,9.530817391700220353e-01,9.355891367298416750e-01
7.211126421363998062e-01,9.591562815653535967e-01,9.379850875519856190e-01
7.212691263455495161e-01,9.651342232424292567e-01,9.402990184134085716e-01
7.214613035264880736e-01,9.710174670460230972e-01,9.425328980396402434e-01
7.216919671146944104e-01,9.768078955566334987e-01,9.446886759504155018e-01
7.219637547879894646e-01,9.825073676775275544e-01,9.467682816125001510e-01
7.222791491248519158e-01,9.881177154405318408e-01,9.487736238574170367e-01
7.226404785527194008e-01,9.936407410323775391e-01,9.507065905235039249e-01
7.230499185730022704e-01,9.990782140421688995e-01,9.525690482837938511e-01
7.235094932485749419e-01,1.004431868929366534e+00,9.543628426235325479e-01
7.240210769387934731e-01,1.009703402710576459e+00,9.560897979336760999e-01
7.245863962665901603e-01,1.014894472862421182e+00,9.577517176894007056e-01
7.252070323019071951e-01,1.020006695436850519e+00,9.593503846854403161e-01
7.258844229456243857e-01,1.025041643384427159e+00,9.608875613029158602e-01
7.266198654981924632e-01,1.030000845080399685e+00,9.623649897851770385e-01
7.274145193973827750e-01,1.034885783047754026e+00,9.637843925030168402e-01
7.282694091098821376e-01,1.039697892870903084e+00,9.651474721923992695e-01
7.291854271618790628e-01,1.044438562293245498e+00,9.664559121505386097e-01
7.301633372942842870e-01,1.049109130491469699e+00,9.677113763787587031e-01
7.312037777287870854e-01,1.053710887519217820e+00,9.689155096630212016e-01
7.323072645315509277e-01,1.058245073912528200e+00,9.700699375853286677e-01
